User,Sentence number,WPM,Time Taken,Mistakes,Word Size, Word Distance,Error Rate,Wanted sentence,Typed sentence,Keystrokes
user_QnnB4ddmOh8jPk6@UAZ#
,0,102.856293,2.800023,0.0,25.0,8.0,32.0,"the voters turfed him out","the voters turfed","the voters turfed"
,1,138.303741,2.950029,1.0,35.0,19.0,54.285714,"where did you get such a silly idea","where dod you get","where dod you get"
,2,221.518936,1.083429,0.0,21.0,12.0,57.142857,"he called seven times","he called","he called"
,3,68.440529,4.383368,0.0,26.0,0.0,0.0,"one of the poorest nations","one of the poorest nations","one of the poorest nations"
,4,118.031799,3.050025,0.0,31.0,13.0,41.935484,"the hopes of a new organization","the hopes of a new","the hopes of a new"
,Average,129.830261,2.853375,0.2,27.6,10.4,37.072811,"","",""
user_cZB!uhuWyNDQBeup06Fl
,0,124.136955,3.38336,3.0,36.0,19.0,52.777778,"one never takes too many precautions","one nerve takes too","one nerve takes too"
,1,295.711884,0.933341,0.0,24.0,17.0,70.833333,"the bus was very crowded","the bus","the bus"
,2,176.685165,2.716697,0.0,41.0,23.0,56.097561,"nothing finer than discovering a treasure","nothing finer than","nothing finer than"
,3,340.537506,1.233344,0.0,36.0,29.0,80.555556,"a much higher risk of getting cancer","a much ","a much "
,4,58.428844,6.366719,2.0,32.0,1.0,3.125,"so you think you deserve a raise","so you thing you deserve a raise","so you thing you a~deserve a raise"
,Average,199.100067,2.926692,1.0,33.8,17.8,52.677846,"","",""
